userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,(no genres listed)
1,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0
2,0.07692307692307693,0.07692307692307693,0.03296703296703297,0.03296703296703297,0.07692307692307693,0.054945054945054944,0.0,0.23076923076923078,0.04395604395604396,0.0,0.02197802197802198,0.01098901098901099,0.02197802197802198,0.04395604395604396,0.08791208791208792,0.03296703296703297,0.0989010989010989,0.03296703296703297,0.02197802197802198,0.0
3,0.10666666666666667,0.04,0.013333333333333334,0.0,0.13333333333333333,0.06666666666666667,0.04,0.25333333333333335,0.013333333333333334,0.0,0.02666666666666667,0.013333333333333334,0.0,0.02666666666666667,0.08,0.02666666666666667,0.08,0.06666666666666667,0.013333333333333334,0.0
4,0.10204081632653061,0.10612244897959183,0.04693877551020408,0.07755102040816327,0.1510204081632653,0.05714285714285714,0.0020408163265306124,0.1,0.0653061224489796,0.0020408163265306124,0.026530612244897958,0.0020408163265306124,0.04693877551020408,0.0163265306122449,0.053061224489795916,0.06938775510204082,0.0673469387755102,0.00816326530612245,0.0,0.0
5,0.04878048780487805,0.07723577235772358,0.04065040650406504,0.056910569105691054,0.21951219512195122,0.024390243902439025,0.012195121951219513,0.13821138211382114,0.052845528455284556,0.0,0.016260162601626018,0.02032520325203252,0.04065040650406504,0.02032520325203252,0.14634146341463414,0.028455284552845527,0.04065040650406504,0.016260162601626018,0.0,0.0
6,0.08695652173913043,0.14492753623188406,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.057971014492753624,0.0,0.17391304347826086,0.08695652173913043,0.0,0.028985507246376812,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.028985507246376812,0.07246376811594203,0.057971014492753624,0.028985507246376812,0.0,0.0
7,0.13274336283185842,0.1504424778761062,0.07079646017699115,0.07079646017699115,0.13274336283185842,0.04424778761061947,0.0,0.12389380530973451,0.04424778761061947,0.0,0.0,0.0,0.035398230088495575,0.0,0.02654867256637168,0.08849557522123894,0.04424778761061947,0.02654867256637168,0.008849557522123894,0.0
8,0.11382113821138211,0.08130081300813008,0.008130081300813009,0.02032520325203252,0.1016260162601626,0.10975609756097561,0.0,0.18699186991869918,0.032520325203252036,0.008130081300813009,0.02032520325203252,0.008130081300813009,0.0040650406504065045,0.04878048780487805,0.06910569105691057,0.052845528455284556,0.10975609756097561,0.024390243902439025,0.0,0.0
9,0.03896103896103896,0.03896103896103896,0.025974025974025976,0.012987012987012988,0.12987012987012986,0.07792207792207792,0.0,0.2857142857142857,0.05194805194805195,0.0,0.025974025974025976,0.0,0.012987012987012988,0.012987012987012988,0.15584415584415584,0.03896103896103896,0.06493506493506493,0.025974025974025976,0.0,0.0
10,0.18055555555555555,0.1527777777777778,0.0,0.0,0.09722222222222222,0.041666666666666664,0.0,0.16666666666666666,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.027777777777777776,0.06944444444444445,0.08333333333333333,0.08333333333333333,0.013888888888888888,0.0,0.0
